                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2639,                 2.5681,                 1.5344,                0.65922,                0.58176,                0.63588,                0.34536,                 1.4212,                 1.9377,                 1.6947,              0.0033293,              0.0033293,              0.0033293
                      2,                 1.2788,                 1.9563,                 1.5299,                0.61471,                0.51451,                0.55809,                 0.3143,                 1.5472,                 1.8138,                 1.8355,              0.0065967,              0.0065967,              0.0065967
                      3,                 1.3669,                 1.8786,                 1.6025,                 0.4952,                0.41693,                0.41727,                0.22304,                 1.7362,                 2.0566,                 1.9838,               0.009798,               0.009798,               0.009798
                      4,                 1.4159,                 1.8834,                  1.661,                0.57558,                0.46125,                0.49273,                 0.2788,                 1.6737,                 1.8532,                 1.9932,               0.009703,               0.009703,               0.009703
                      5,                 1.3576,                 1.7485,                  1.628,                0.71369,                0.59179,                0.67647,                0.41342,                 1.3873,                 1.4545,                 1.7187,               0.009604,               0.009604,               0.009604
                      6,                 1.3173,                 1.6403,                 1.5856,                0.74075,                0.59347,                0.67964,                0.41848,                 1.3943,                 1.4249,                   1.71,               0.009505,               0.009505,               0.009505
                      7,                 1.2687,                 1.5337,                 1.5524,                0.77075,                0.64767,                0.73516,                0.46844,                 1.3006,                 1.2804,                 1.6333,               0.009406,               0.009406,               0.009406
                      8,                 1.2587,                 1.4875,                 1.5374,                0.79508,                0.65001,                0.75415,                0.47855,                   1.32,                 1.2434,                 1.6218,               0.009307,               0.009307,               0.009307
                      9,                 1.2369,                 1.4292,                 1.5177,                0.79693,                0.66833,                0.78625,                0.51329,                 1.2629,                 1.1871,                 1.5469,               0.009208,               0.009208,               0.009208
                     10,                 1.2083,                 1.3798,                 1.4934,                0.79572,                0.71399,                0.80075,                0.51379,                 1.2639,                 1.1076,                 1.5441,               0.009109,               0.009109,               0.009109
