epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.855,0.97177,0.89846,1.27897,0.87778,0.75003,0.82839,0.58852,1.10332,0.91227,1.40346,0.000475869,0.000475869,0.000475869
2,271.401,1.04068,1.03051,1.33298,0.81996,0.71419,0.78747,0.54878,1.17567,1.02698,1.48817,0.000905068,0.000905068,0.000905068
3,398.976,1.08765,1.11167,1.37043,0.84586,0.71346,0.78627,0.52287,1.23923,1.07797,1.53736,0.00128711,0.00128711,0.00128711
4,525.497,1.09756,1.13541,1.38262,0.85662,0.72334,0.80185,0.53023,1.30844,1.01992,1.5722,0.00121679,0.00121679,0.00121679
5,652.215,1.08029,1.10433,1.36536,0.85616,0.7294,0.81144,0.5479,1.18308,0.97915,1.48684,0.00114606,0.00114606,0.00114606
6,778.524,1.06418,1.06419,1.35669,0.85699,0.74729,0.82013,0.572,1.13594,0.93639,1.43959,0.00107532,0.00107532,0.00107532
7,904.808,1.05327,1.04257,1.34229,0.87717,0.73685,0.81857,0.56525,1.13111,0.94348,1.44634,0.00100459,0.00100459,0.00100459
8,1032.04,1.03583,1.01186,1.33705,0.84956,0.74788,0.82502,0.57144,1.15896,0.90634,1.46092,0.000933851,0.000933851,0.000933851
9,1158.36,1.02405,0.98494,1.32536,0.87327,0.74291,0.82626,0.57903,1.13611,0.90075,1.43916,0.000863116,0.000863116,0.000863116
10,1284.58,1.01696,0.96743,1.31633,0.87687,0.75159,0.83748,0.59409,1.09588,0.8504,1.39442,0.00079238,0.00079238,0.00079238
11,1426.17,0.98298,0.75124,1.31601,0.88046,0.75927,0.84256,0.59586,1.10218,0.84768,1.39796,0.000721645,0.000721645,0.000721645
12,1551.42,0.9574,0.69481,1.29802,0.87433,0.76683,0.84394,0.60894,1.07225,0.82273,1.37997,0.000650909,0.000650909,0.000650909
13,1676.29,0.93707,0.66248,1.27577,0.91475,0.75016,0.84361,0.60114,1.11335,0.82283,1.39405,0.000580174,0.000580174,0.000580174
14,1801.52,0.91615,0.63126,1.25824,0.88341,0.78736,0.86138,0.62174,1.06836,0.77049,1.37294,0.000509438,0.000509438,0.000509438
15,1926.17,0.89786,0.60745,1.24604,0.87877,0.7795,0.85625,0.6295,1.03124,0.75397,1.34349,0.000438703,0.000438703,0.000438703
16,2051.2,0.87605,0.57484,1.22627,0.90627,0.78087,0.86492,0.63175,1.03781,0.74569,1.34736,0.000367967,0.000367967,0.000367967
17,2176.42,0.86095,0.55559,1.21364,0.90566,0.78151,0.85498,0.62766,1.04563,0.75977,1.35796,0.000297232,0.000297232,0.000297232
18,2301.57,0.84666,0.53263,1.19741,0.91229,0.79082,0.86122,0.62893,1.03866,0.72711,1.35139,0.000226497,0.000226497,0.000226497
19,2426.65,0.8273,0.51816,1.18627,0.90824,0.79536,0.8734,0.63688,1.03359,0.72511,1.35026,0.000155761,0.000155761,0.000155761
20,2551.84,0.81228,0.49456,1.17342,0.91593,0.79511,0.86836,0.63862,1.03639,0.70981,1.35223,8.50255e-05,8.50255e-05,8.50255e-05
