epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.041,1.28144,2.79713,1.53738,0.53119,0.3924,0.42314,0.2601,1.44345,2.4106,1.74446,0.00333008,0.00333008,0.00333008
2,260.337,1.29579,2.15651,1.531,0.5365,0.43051,0.44658,0.25041,1.57496,2.03069,1.92392,0.00653148,0.00653148,0.00653148
3,383.923,1.40031,2.0717,1.63012,0.34682,0.36849,0.31174,0.17251,1.92083,3.04017,2.50746,0.00960088,0.00960088,0.00960088
4,506.727,1.44399,2.06591,1.6859,0.60967,0.47053,0.50674,0.30095,1.57003,1.83482,1.91554,0.009406,0.009406,0.009406
5,630.464,1.38189,1.88534,1.62834,0.67414,0.504,0.55693,0.34681,1.49991,1.75622,1.85749,0.009208,0.009208,0.009208
6,753.921,1.3192,1.74087,1.59006,0.68437,0.57005,0.63016,0.40208,1.37867,1.57413,1.73288,0.00901,0.00901,0.00901
7,876.732,1.28871,1.65992,1.55842,0.70323,0.58576,0.64166,0.4076,1.38895,1.53464,1.72491,0.008812,0.008812,0.008812
8,999.369,1.26359,1.57765,1.53918,0.75087,0.61668,0.68886,0.43435,1.33482,1.35689,1.64475,0.008614,0.008614,0.008614
9,1121.82,1.24397,1.52904,1.51864,0.81101,0.59225,0.70783,0.462,1.31365,1.33604,1.62623,0.008416,0.008416,0.008416
10,1245.22,1.23112,1.48993,1.50627,0.77531,0.62273,0.70675,0.4726,1.2915,1.31057,1.62744,0.008218,0.008218,0.008218
11,1368.52,1.20767,1.42636,1.48002,0.79104,0.66836,0.73796,0.49947,1.24688,1.22822,1.56496,0.00802,0.00802,0.00802
12,1491.83,1.19652,1.39395,1.47159,0.79321,0.67245,0.75424,0.49694,1.22847,1.15097,1.53727,0.007822,0.007822,0.007822
13,1615.02,1.17581,1.34493,1.45515,0.80428,0.6535,0.7545,0.51206,1.1913,1.17256,1.50293,0.007624,0.007624,0.007624
14,1738.29,1.15884,1.31021,1.44078,0.79838,0.70235,0.76961,0.5214,1.20496,1.09854,1.51453,0.007426,0.007426,0.007426
15,1861.66,1.15869,1.30035,1.43453,0.79794,0.70197,0.78472,0.53851,1.16921,1.06174,1.47545,0.007228,0.007228,0.007228
16,1982.83,1.1459,1.27145,1.4302,0.85322,0.68089,0.78576,0.54812,1.14919,1.06137,1.45653,0.00703,0.00703,0.00703
